"Package" "LibPath" "Version" "Priority" "Depends" "Imports" "LinkingTo" "Suggests" "Enhances" "License" "License_is_FOSS" "License_restricts_use" "OS_type" "MD5sum" "NeedsCompilation" "Built"
"acepack" "acepack" "/Library/Frameworks/R.framework/Versions/3.2/Resources/library" "1.3-3.3" NA NA NA NA NA NA "MIT + file LICENSE" NA NA NA NA "yes" "3.2.0"
"assertthat" "assertthat" "/Library/Frameworks/R.framework/Versions/3.2/Resources/library" "0.1" NA NA NA NA "testthat" NA "GPL-3" NA NA NA NA "no" "3.2.0"
"base" "base" "/Library/Frameworks/R.framework/Versions/3.2/Resources/library" "3.2.2" "base" NA NA NA NA NA "Part of R 3.2.2" NA NA NA NA NA "3.2.2"
"base64enc" "base64enc" "/Library/Frameworks/R.framework/Versions/3.2/Resources/library" "0.1-3" NA "R (>= 2.9.0)" NA NA NA "png" "GPL-2 | GPL-3" NA NA NA NA "yes" "3.2.0"
"BH" "BH" "/Library/Frameworks/R.framework/Versions/3.2/Resources/library" "1.58.0-1" NA NA NA NA NA NA "BSL-1.0" NA NA NA NA "no" "3.2.0"
"bitops" "bitops" "/Library/Frameworks/R.framework/Versions/3.2/Resources/library" "1.0-6" NA NA NA NA NA NA "GPL (>= 2)" NA NA NA NA "yes" "3.2.0"
"boot" "boot" "/Library/Frameworks/R.framework/Versions/3.2/Resources/library" "1.3-17" "recommended" "R (>= 3.0.0), graphics, stats" NA NA "MASS, survival" NA "Unlimited" NA NA NA NA "no" "3.2.2"
"brew" "brew" "/Library/Frameworks/R.framework/Versions/3.2/Resources/library" "1.0-6" NA NA NA NA NA NA "GPL-2" NA NA NA NA NA "3.2.0"
"caTools" "caTools" "/Library/Frameworks/R.framework/Versions/3.2/Resources/library" "1.17.1" NA "R (>= 2.2.0)" "bitops" NA "MASS, rpart" NA "GPL-3" NA NA NA NA "yes" "3.2.0"
"cellranger" "cellranger" "/Library/Frameworks/R.framework/Versions/3.2/Resources/library" "1.0.0" NA "R (>= 3.0.0)" NA NA "covr, testthat" NA "MIT + file LICENSE" NA NA NA NA "no" "3.2.0"
"class" "class" "/Library/Frameworks/R.framework/Versions/3.2/Resources/library" "7.3-14" "recommended" "R (>= 3.0.0), stats, utils" "MASS" NA NA NA "GPL-2 | GPL-3" NA NA NA NA "yes" "3.2.0"
"cluster" "cluster" "/Library/Frameworks/R.framework/Versions/3.2/Resources/library" "2.0.3" "recommended" "R (>= 2.15.0), utils" "graphics, grDevices, stats" NA "MASS" NA "GPL (>= 2)" NA NA NA NA "yes" "3.2.2"
"codetools" "codetools" "/Library/Frameworks/R.framework/Versions/3.2/Resources/library" "0.2-14" "recommended" "R (>= 2.1)" NA NA NA NA "GPL" NA NA NA NA "no" "3.2.2"
"colorspace" "colorspace" "/Library/Frameworks/R.framework/Versions/3.2/Resources/library" "1.2-6" NA "R (>= 2.13.0), methods" "graphics" NA "KernSmooth, MASS, kernlab, mvtnorm, vcd, dichromat, tcltk" NA "BSD_3_clause + file LICENSE" NA NA NA NA "yes" "3.2.0"
"compiler" "compiler" "/Library/Frameworks/R.framework/Versions/3.2/Resources/library" "3.2.2" "base" NA NA NA NA NA "Part of R 3.2.2" NA NA NA NA NA "3.2.2"
"crayon" "crayon" "/Library/Frameworks/R.framework/Versions/3.2/Resources/library" "1.3.1" NA NA "memoise, grDevices, methods, utils" NA "testthat" NA "MIT + file LICENSE" NA NA NA NA "no" "3.2.0"
"curl" "curl" "/Library/Frameworks/R.framework/Versions/3.2/Resources/library" "0.9.3" NA "R (>= 2.10.0)" NA NA "testthat, knitr, jsonlite, rmarkdown, magrittr" NA "MIT + file LICENSE" NA NA NA NA "yes" "3.2.0"
"datasets" "datasets" "/Library/Frameworks/R.framework/Versions/3.2/Resources/library" "3.2.2" "base" NA NA NA NA NA "Part of R 3.2.2" NA NA NA NA NA "3.2.2"
